target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score,pitch_matchup_hr_rate,pitch_matchup_pitcher_hr_allowed_rate,pitch_mix_coverage,model_version,rescored_at_utc,rescore_note,original_v1_rank,rank_improvement
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,621566,824629,656849,11,Matt Olson,Atlanta Braves,Chicago Cubs,David Peterson,3,Wrigley Field,107,9.5,Elite,10.0,8.5,5.5,8.5,5.8,6.1,8.0,69.98,12.3652829,132.0,8.9,6.1,9.7,8.9,Hitter skill + Pitch-type matchup,False,0.7672222222222221,0.7672222222222221,0.010027522902915656,0.00778958632803554,0.339066581997148,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,8,-3
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682829,824465,669373,12,Elly De La Cruz,Cincinnati Reds,Los Angeles Dodgers,Tarik Skubal,2,Great American Ball Park,81,9.4,Excellent,9.9,9.6,4.1,9.6,4.6,6.6,9.0,75.74000000000001,7.3321778,78.0,9.1,9.5,8.3,9.8,Hitter skill + Pitch-type matchup,False,0.7579166666666666,0.7579166666666666,0.011696498716480373,0.007400366776627904,0.2350520301529198,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,11,-1
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,596019,823575,687064,13,Francisco Lindor,New York Mets,Baltimore Orioles,Brandon Young,1,Citi Field,101,9.4,Excellent,8.2,9.7,6.2,9.7,5.5,6.0,10.0,68.18,8.5749198,351.0,9.9,7.0,8.1,8.8,Lineup context + Recent power,False,0.7563888888888889,0.7563888888888889,0.011914930827350512,0.00806459991431712,0.3730535041973088,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,19,6
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691181,823656,701542,14,Emmanuel Rodriguez,Minnesota Twins,New York Yankees,Will Warren,7,Target Field,113,9.3,Excellent,8.5,7.9,7.0,7.9,6.1,5.6,4.0,59.0,13.4837507,173.0,9.5,10.0,10.0,10.0,Pitch-type matchup + Recent power,True,0.7501388888888889,0.7501388888888889,0.009329303482623206,0.008124361561999555,0.02027634493884397,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,9,-5
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,663728,823981,672282,15,Cal Raleigh,Seattle Mariners,Los Angeles Angels,Reid Detmers,4,Angel Stadium,101,9.3,Excellent,9.8,8.6,5.7,8.6,5.5,5.5,7.0,,,,3.3,9.7,8.8,9.9,Hitter skill + Pitch-type matchup,True,0.7493055555555554,0.7493055555555554,0.010174416516127936,0.007891391494552473,0.3356042686353999,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,17,2
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,665742,823575,687064,16,Juan Soto,New York Mets,Baltimore Orioles,Brandon Young,2,Citi Field,101,9.2,Excellent,9.6,6.2,6.2,6.2,5.5,6.0,9.0,68.18,8.5749198,351.0,8.5,8.1,7.1,9.6,Hitter skill + Lineup context,False,0.7370833333333333,0.7370833333333333,0.008283414428927468,0.00806459991431712,0.31867285466979534,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,16,0
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691718,824629,625643,17,Pete Crow-Armstrong,Chicago Cubs,Atlanta Braves,Reynaldo López,1,Wrigley Field,107,9.2,Excellent,8.5,10.0,5.3,10.0,5.8,6.1,10.0,69.98,12.3652829,132.0,3.3,9.4,8.5,9.3,Lineup context + Pitch-type matchup,False,0.7348611111111112,0.7348611111111112,0.014983030173633215,0.007644933300493313,0.5071408831551141,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,31,14
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,606466,825034,645261,18,Ketel Marte,Arizona Diamondbacks,Miami Marlins,Sandy Alcantara,2,Chase Field,213,9.1,Excellent,9.5,6.1,6.8,6.1,10.0,4.8,9.0,104.18,6.337984199999999,238.0,3.3,5.7,7.1,8.7,Ballpark + Hitter skill,True,0.7316666666666666,0.7316666666666666,0.008244986369960593,0.00812431510109259,0.3326945231957755,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,20,2
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682998,825034,645261,19,Corbin Carroll,Arizona Diamondbacks,Miami Marlins,Sandy Alcantara,5,Chase Field,213,9.0,Excellent,8.6,6.0,6.8,6.0,10.0,4.8,6.0,104.18,6.337984199999999,238.0,6.5,8.9,7.3,8.8,Ballpark + Hitter skill,True,0.7112499999999999,0.7112499999999999,0.008148006982594862,0.00812431510109259,0.3638871851697396,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,37,18
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,605141,824465,666157,20,Mookie Betts,Los Angeles Dodgers,Cincinnati Reds,Nick Lodolo,2,Great American Ball Park,81,9.0,Excellent,8.6,4.1,8.1,4.1,4.6,6.6,9.0,75.74000000000001,7.3321778,78.0,8.7,7.1,6.5,8.7,Lineup context + Recent power,False,0.7102777777777777,0.7102777777777777,0.007202438555844859,0.00905117100699287,0.2666039408476585,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,46,26
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691723,823575,804636,21,Coby Mayo,Baltimore Orioles,New York Mets,Jonah Tong,4,Citi Field,101,8.9,Excellent,9.0,3.9,7.6,3.9,5.5,6.0,7.0,68.18,8.5749198,351.0,8.9,9.6,6.9,6.6,Pitcher vulnerability + Hitter skill,False,0.7011111111111111,0.7011111111111111,0.0071122144778470245,0.008568456109651913,0.22458004705992204,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,5,-16
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,686797,823656,701542,22,Brooks Lee,Minnesota Twins,New York Yankees,Will Warren,2,Target Field,113,8.9,Excellent,6.8,9.0,7.0,9.0,6.1,5.6,9.0,59.0,13.4837507,173.0,3.3,8.7,9.5,7.1,Lineup context + Pitcher vulnerability,True,0.6941666666666665,0.6941666666666665,0.010563647946683649,0.008124361561999555,0.4008813022953204,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,32,10
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,545361,823981,807739,23,Mike Trout,Los Angeles Angels,Seattle Mariners,Kade Anderson,2,Angel Stadium,101,8.8,Excellent,9.7,2.1,8.7,2.1,5.5,5.5,9.0,,,,6.2,6.9,2.3,6.9,Hitter skill + Lineup context,True,0.6929166666666666,0.6929166666666666,0.006145932868611006,0.009132808118762294,0.2853479011793795,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,18,-5
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,683737,824629,625643,24,Michael Busch,Chicago Cubs,Atlanta Braves,Reynaldo López,3,Wrigley Field,107,8.8,Excellent,9.1,8.4,5.3,8.4,5.8,6.1,8.0,69.98,12.3652829,132.0,6.5,7.5,4.3,6.1,Hitter skill + Lineup context,False,0.6916666666666664,0.6916666666666664,0.009894494759027577,0.007644933300493313,0.4830518006211867,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,48,24
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,681715,825034,669203,25,Heriberto Hernández,Miami Marlins,Arizona Diamondbacks,Corbin Burnes,2,Chase Field,213,8.7,Excellent,9.7,6.9,3.6,6.9,10.0,4.8,9.0,104.18,6.337984199999999,238.0,3.3,9.4,6.4,9.6,Ballpark + Hitter skill,True,0.6790277777777778,0.6790277777777778,0.00875858640648373,0.007238753091177264,0.24588065551955224,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,33,8
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,669224,823656,665152,26,Austin Wells,New York Yankees,Minnesota Twins,Dean Kremer,8,Target Field,113,8.7,Excellent,7.6,4.4,9.3,4.4,6.1,5.6,3.0,59.0,13.4837507,173.0,7.9,5.4,6.1,8.2,Pitcher vulnerability + Recent power,True,0.6705555555555556,0.6705555555555556,0.00736668905609246,0.010552176668556222,0.28342513637345,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,24,-2
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,660670,824629,656849,27,Ronald Acuña Jr.,Atlanta Braves,Chicago Cubs,David Peterson,1,Wrigley Field,107,8.6,Excellent,6.5,8.1,6.5,8.1,5.8,6.1,10.0,69.98,12.3652829,132.0,6.2,8.8,7.2,7.4,Lineup context + Pitch-type matchup,False,0.6661111111111111,0.6661111111111111,0.009566308003078521,0.008116002412460646,0.1537676916960385,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,26,-1
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,669701,822765,675512,28,Josh Smith,Toronto Blue Jays,Detroit Tigers,Troy Melton,8,Rogers Centre,69,8.6,Excellent,5.3,8.8,9.9,8.8,4.1,5.9,3.0,63.86,5.716613199999999,132.0,10.0,8.8,2.6,1.2,Recent power + Pitch-type matchup,False,0.6536111111111111,0.6536111111111111,0.010344455446378348,0.011410654796135244,0.19428522788713884,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,74,46
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,681393,824308,663554,29,Connor Norby,Colorado Rockies,San Diego Padres,Casey Mize,2,Coors Field,207,8.5,Strong,6.0,5.3,9.1,5.3,10.0,6.8,9.0,83.66,22.120807600000003,278.0,7.3,6.4,2.9,1.6,Ballpark + Lineup context,False,0.6491666666666667,0.6491666666666667,0.007706693778393683,0.010443132967355254,0.1968014616774802,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,69,40
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,553993,824465,669373,30,Eugenio Suárez,Cincinnati Reds,Los Angeles Dodgers,Tarik Skubal,5,Great American Ball Park,81,8.5,Strong,8.9,6.8,4.1,6.8,4.6,6.6,6.0,75.74000000000001,7.3321778,78.0,9.5,7.6,8.2,7.6,Recent power + Hitter skill,False,0.6454166666666665,0.6454166666666665,0.008748371983417122,0.007400366776627904,0.2641430731041895,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,23,-7
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682987,823656,665152,31,Spencer Jones,New York Yankees,Minnesota Twins,Dean Kremer,5,Target Field,113,8.4,Strong,6.6,4.7,9.3,4.7,6.1,5.6,6.0,59.0,13.4837507,173.0,3.3,6.6,5.2,9.1,Pitch-type matchup + Pitcher vulnerability,True,0.6447222222222223,0.6447222222222223,0.0074482314775380105,0.010552176668556222,0.31704946923914634,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,15,-16
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691720,824308,663554,32,Kyle Karros,Colorado Rockies,San Diego Padres,Casey Mize,6,Coors Field,207,8.4,Strong,4.7,9.6,9.1,9.6,10.0,6.8,5.0,83.66,22.120807600000003,278.0,6.8,5.0,1.7,2.1,Ballpark + Pitch-type matchup,False,0.6444444444444445,0.6444444444444445,0.011871779329024324,0.010443132967355254,0.2540421022331021,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,57,25
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,683146,823575,687064,33,Brett Baty,New York Mets,Baltimore Orioles,Brandon Young,8,Citi Field,101,8.3,Strong,6.2,7.6,6.2,7.6,5.5,6.0,3.0,68.18,8.5749198,351.0,10.0,9.7,8.7,9.1,Recent power + Hitter skill,False,0.63125,0.63125,0.00915582193693601,0.00806459991431712,0.3581436227846043,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,60,27
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,668227,823981,672282,34,Randy Arozarena,Seattle Mariners,Los Angeles Angels,Reid Detmers,2,Angel Stadium,101,8.3,Strong,7.4,7.3,5.7,7.3,5.5,5.5,9.0,,,,9.6,7.3,3.4,4.4,Recent power + Lineup context,True,0.6295833333333333,0.6295833333333333,0.008906174033960886,0.007891391494552473,0.28115945041456025,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,51,17
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,669221,824629,656849,35,Sean Murphy,Atlanta Braves,Chicago Cubs,David Peterson,8,Wrigley Field,107,8.2,Strong,9.2,4.5,6.5,4.5,5.8,6.1,3.0,69.98,12.3652829,132.0,3.3,8.3,4.5,6.3,Hitter skill + Pitcher vulnerability,False,0.6272222222222221,0.6272222222222221,0.007383667152312172,0.008116002412460646,0.0546996836811178,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,34,-1
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,666182,823575,687064,36,Bo Bichette,New York Mets,Baltimore Orioles,Brandon Young,3,Citi Field,101,8.1,Strong,9.6,6.6,3.2,6.6,5.5,6.0,8.0,68.18,8.5749198,351.0,3.3,6.8,8.4,8.0,Hitter skill + Lineup context,False,0.6265277777777777,0.6265277777777777,0.008561501993367734,0.007024434126155605,0.45062069453878806,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,44,8
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,691788,825034,669203,37,Joe Mack,Miami Marlins,Arizona Diamondbacks,Corbin Burnes,8,Chase Field,213,8.1,Strong,3.9,9.8,8.4,9.8,10.0,4.8,3.0,104.18,6.337984199999999,238.0,8.3,1.9,9.4,6.4,Ballpark + Pitch-type matchup,True,0.6227777777777778,0.6227777777777778,0.012840170597348306,0.009062793159317142,0.2500004270847731,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,116,79
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,699393,824629,625643,38,Pedro Ramírez,Chicago Cubs,Atlanta Braves,Reynaldo López,8,Wrigley Field,107,8.0,Strong,9.1,6.2,5.3,6.2,5.8,6.1,3.0,69.98,12.3652829,132.0,7.7,6.2,5.8,3.6,Hitter skill + Recent power,False,0.6226388888888887,0.6226388888888887,0.008293535659520766,0.007644933300493313,0.3620873122302769,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,59,21
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,682877,824465,669373,39,Juan Brito,Cincinnati Reds,Los Angeles Dodgers,Tarik Skubal,6,Great American Ball Park,81,8.0,Strong,8.7,8.2,4.1,8.2,4.6,6.6,5.0,75.74000000000001,7.3321778,78.0,7.3,9.2,3.3,4.6,Pitch-type matchup + Hitter skill,False,0.6211111111111111,0.6211111111111111,0.009656005277864654,0.007400366776627904,0.02723202173930973,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,29,-10
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,672960,822765,675512,40,Kazuma Okamoto,Toronto Blue Jays,Detroit Tigers,Troy Melton,6,Rogers Centre,69,7.9,Strong,8.9,8.0,2.4,8.0,4.1,5.9,5.0,63.86,5.716613199999999,132.0,9.8,9.8,7.5,8.4,Recent power + Hitter skill,False,0.6168055555555556,0.6168055555555556,0.009410714184812636,0.006534143644501249,0.41985545201200375,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,14,-26
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,701398,824465,669373,41,Sal Stewart,Cincinnati Reds,Los Angeles Dodgers,Tarik Skubal,3,Great American Ball Park,81,7.9,Strong,8.2,6.5,4.1,6.5,4.6,6.6,8.0,75.74000000000001,7.3321778,78.0,3.3,7.4,9.2,9.7,Hitter skill + Lineup context,False,0.6144444444444443,0.6144444444444443,0.008433197381258098,0.007400366776627904,0.2749148114517929,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,38,-3
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,642350,823981,807739,42,Jose Siri,Los Angeles Angels,Seattle Mariners,Kade Anderson,8,Angel Stadium,101,7.8,Strong,4.6,8.7,8.7,8.7,5.5,5.5,3.0,,,,7.9,9.2,4.7,3.8,Pitcher vulnerability + Recent power,True,0.6133333333333333,0.6133333333333333,0.010226850250713276,0.009132808118762294,0.2712745232313446,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,52,10
2026-09-14,2026-09-14T20:28:23.785941+00:00,2026-09-13,projected_or_reconstructed,forecast_or_neutral,663457,825034,645261,43,Lars Nootbaar,Arizona Diamondbacks,Miami Marlins,Sandy Alcantara,1,Chase Field,213,7.8,Strong,5.9,4.6,6.8,4.6,10.0,4.8,10.0,104.18,6.337984199999999,238.0,3.3,9.3,8.9,8.3,Ballpark + Lineup context,True,0.6130555555555556,0.6130555555555556,0.007411014306813456,0.00812431510109259,0.3763005817627261,v1_handedness_candidate,2026-09-14T20:56:41.538925+00:00,Frozen Sep14 inputs; refreshed history through same cutoff; matchup-only change,79,36
